team1_avg_goals,team2_avg_goals,team1_win_rate,team2_win_rate,head_to_head_team1_wins,stage_importance,venue_advantage,outcome
1.75,1.75,0.0,0.6666666666666666,0,0.5,1.0,2
1.3,2.1666666666666665,0.4,0.4166666666666667,3,0.5,1.0,1
1.3,1.9,0.3,0.5,1,0.5,1.0,1
2.2142857142857144,2.125,0.5714285714285714,0.375,1,0.5,1.0,1
2.357142857142857,2.0,0.5714285714285714,0.375,1,0.5,1.0,1
1.5,1.5,0.5,0.8,0,0.5,1.0,2
1.0,1.5,0.125,0.25,0,0.5,1.0,0
2.0,1.875,0.125,0.125,1,0.5,1.0,1
2.6,1.4666666666666666,0.3,0.6666666666666666,0,0.5,1.0,0
1.588235294117647,1.5,0.5294117647058824,0.125,1,0.5,1.0,1
1.4166666666666667,2.0714285714285716,0.4166666666666667,0.5714285714285714,0,0.5,1.0,2
2.3,2.125,0.3,0.0,1,0.5,1.0,1
2.0,1.9,0.4166666666666667,0.5,0,0.5,1.0,2
2.625,1.5833333333333333,0.25,0.4166666666666667,0,0.5,1.0,2
2.1,2.9285714285714284,0.4,0.6428571428571429,1,0.5,1.0,1
1.7,1.625,0.4,0.25,1,0.5,1.0,1
1.3,1.5,0.4,0.6428571428571429,0,0.5,1.0,0
1.9,1.625,0.6,0.125,1,0.5,1.0,1
2.0,2.0,0.375,0.125,0,0.5,1.0,0
1.875,1.7,0.125,0.4,0,0.5,1.0,2
2.125,2.6,0.0,0.3,0,0.5,1.0,2
2.0714285714285716,2.3,0.5714285714285714,0.3,1,0.5,1.0,1
2.9285714285714284,1.75,0.6428571428571429,0.0,1,0.5,1.0,1
1.4666666666666666,2.625,0.6666666666666666,0.25,1,0.5,1.0,1
1.9,1.5,0.5,0.5,1,0.5,1.0,1
1.5,1.588235294117647,0.6428571428571429,0.5294117647058824,2,0.5,1.0,1
2.1666666666666665,1.3,0.4166666666666667,0.3,0,0.5,1.0,0
1.5,2.0,0.125,0.4166666666666667,0,0.5,1.0,2
1.5,1.3,0.25,0.4,0,0.5,1.0,2
1.75,2.2142857142857144,0.6666666666666666,0.5714285714285714,1,0.5,1.0,1
1.625,1.4166666666666667,0.25,0.4166666666666667,0,0.5,1.0,2
1.5,1.0,0.8,0.125,1,0.5,1.0,1
1.625,1.3,0.125,0.4,0,0.5,1.0,2
1.5833333333333333,1.9,0.4166666666666667,0.6,1,0.5,1.0,1
2.125,2.1,0.375,0.4,0,0.5,1.0,0
1.9,2.357142857142857,0.5,0.5714285714285714,1,0.5,1.0,1
2.1,2.625,0.4,0.25,1,0.5,1.0,1
1.5,1.4166666666666667,0.5,0.4166666666666667,1,0.5,1.0,1
1.75,1.0,0.6666666666666666,0.125,1,0.5,1.0,1
1.5,2.125,0.125,0.0,1,0.5,1.0,1
1.625,1.3,0.25,0.3,0,0.5,1.0,2
1.588235294117647,2.1666666666666665,0.5294117647058824,0.4166666666666667,0,0.5,1.0,0
2.357142857142857,2.0714285714285716,0.5714285714285714,0.5714285714285714,1,0.5,1.0,1
1.5,1.5,0.6428571428571429,0.25,1,0.5,1.0,1
1.3,2.0,0.4,0.375,0,0.5,1.0,2
1.7,1.9,0.4,0.5,0,0.5,1.0,0
1.3,2.3,0.4,0.3,0,0.5,1.0,0
1.75,1.4666666666666666,0.0,0.6666666666666666,0,0.5,1.0,2
2.9285714285714284,2.2142857142857144,0.6428571428571429,0.5714285714285714,1,0.5,1.0,1
2.6,2.0,0.3,0.125,1,0.5,1.0,1
1.625,1.5,0.125,0.8,0,0.5,1.0,2
1.9,1.9,0.6,0.5,0,0.5,1.0,2
1.5833333333333333,2.0,0.4166666666666667,0.4166666666666667,0,0.5,1.0,2
1.875,2.125,0.125,0.375,0,0.5,1.0,2
2.125,2.125,0.0,0.375,0,0.5,1.0,2
2.1666666666666665,1.5,0.4166666666666667,0.125,1,0.5,1.0,1
1.3,2.6,0.3,0.3,1,0.5,1.0,1
1.0,2.1,0.125,0.4,0,0.5,1.0,2
2.0714285714285716,1.625,0.5714285714285714,0.25,1,0.5,1.0,1
1.5,1.9,0.8,0.5,1,0.5,1.0,1
2.357142857142857,1.5,0.5714285714285714,0.5,0,0.5,1.0,2
2.3,1.625,0.3,0.125,1,0.5,1.0,1
1.9,1.3,0.5,0.4,0,0.5,1.0,0
1.4166666666666667,1.75,0.4166666666666667,0.6666666666666666,2,0.5,1.0,1
1.5,1.75,0.25,0.0,1,0.5,1.0,1
2.0,1.7,0.125,0.4,0,0.5,1.0,2
2.0,1.3,0.375,0.4,0,0.5,1.0,2
1.4666666666666666,1.5,0.6666666666666666,0.6428571428571429,1,0.5,1.0,1
1.588235294117647,1.9,0.5294117647058824,0.6,0,0.5,1.0,2
2.0,1.875,0.4166666666666667,0.125,0,0.5,1.0,2
2.625,2.9285714285714284,0.25,0.6428571428571429,0,0.5,1.0,2
2.2142857142857144,1.5833333333333333,0.5714285714285714,0.4166666666666667,1,0.5,1.0,1
2.125,1.5,0.0,0.5,0,0.5,1.0,2
2.0,1.9,0.125,0.6,0,0.5,1.0,2
1.3,1.5,0.3,0.6428571428571429,0,0.5,1.0,2
1.75,1.3,0.0,0.4,0,0.5,1.0,2
2.2142857142857144,1.588235294117647,0.5714285714285714,0.5294117647058824,1,0.5,1.0,1
2.9285714285714284,1.7,0.6428571428571429,0.4,1,0.5,1.0,1
1.4666666666666666,1.625,0.6666666666666666,0.125,1,0.5,1.0,1
2.6,2.0,0.3,0.4166666666666667,0,0.5,1.0,0
1.9,1.875,0.5,0.125,1,0.5,1.0,1
1.625,1.5,0.25,0.125,1,0.5,1.0,1
2.625,2.0,0.25,0.375,1,0.5,1.0,1
2.1,1.5833333333333333,0.4,0.4166666666666667,0,0.5,1.0,2
1.75,1.3,0.6666666666666666,0.4,0,0.5,1.0,0
1.0,1.9,0.125,0.5,0,0.5,1.0,2
1.5,2.357142857142857,0.8,0.5714285714285714,1,0.5,1.0,1
2.3,1.4166666666666667,0.3,0.4166666666666667,0,0.5,1.0,0
2.125,2.0714285714285716,0.375,0.5714285714285714,0,0.5,1.0,2
2.1666666666666665,1.5,0.4166666666666667,0.25,1,0.5,1.0,1
1.5,1.5,0.125,0.8,0,0.5,1.0,2
2.125,2.3,0.375,0.3,0,0.5,1.0,0
1.7,2.1666666666666665,0.4,0.4166666666666667,1,0.5,1.0,1
1.625,1.75,0.125,0.6666666666666666,0,0.5,1.0,2
1.3,2.357142857142857,0.4,0.5714285714285714,0,0.5,1.0,2
1.9,1.4666666666666666,0.5,0.6666666666666666,1,0.5,1.0,1
1.4166666666666667,1.3,0.4166666666666667,0.3,1,0.5,1.0,1
1.5,2.2142857142857144,0.25,0.5714285714285714,0,0.5,1.0,2
1.875,1.588235294117647,0.125,0.5294117647058824,0,0.5,1.0,2
1.9,2.125,0.6,0.0,1,0.5,1.0,1
1.9,1.625,0.5,0.25,1,0.5,1.0,1
2.0,1.75,0.375,0.0,1,0.5,1.0,1
2.0714285714285716,2.9285714285714284,0.5714285714285714,0.6428571428571429,2,0.5,1.0,2
1.5,2.625,0.5,0.25,1,0.5,1.0,1
1.5833333333333333,1.0,0.4166666666666667,0.125,0,0.5,1.0,0
1.5,2.1,0.6428571428571429,0.4,1,0.5,1.0,1
1.3,2.6,0.4,0.3,1,0.5,1.0,1
2.0,2.0,0.4166666666666667,0.125,1,0.5,1.0,1
2.1,1.75,0.4,0.6666666666666666,1,0.5,1.0,1
1.3,1.625,0.4,0.25,1,0.5,1.0,1
1.0,2.0714285714285716,0.125,0.5714285714285714,1,0.5,1.0,1
2.125,2.0,0.0,0.375,0,0.5,1.0,2
1.5,1.9,0.8,0.5,1,0.5,1.0,1
1.9,1.9,0.6,0.5,1,0.5,1.0,1
1.5833333333333333,2.9285714285714284,0.4166666666666667,0.6428571428571429,1,0.5,1.0,2
1.4166666666666667,1.3,0.4166666666666667,0.4,0,0.5,1.0,0
2.625,2.1666666666666665,0.25,0.4166666666666667,0,0.5,1.0,2
1.625,1.3,0.125,0.3,1,0.5,1.0,1
1.5,1.7,0.25,0.4,1,0.5,1.0,1
2.0,1.4666666666666666,0.125,0.6666666666666666,0,0.5,1.0,2
1.588235294117647,2.6,0.5294117647058824,0.3,1,0.5,1.0,1
2.357142857142857,1.875,0.5714285714285714,0.125,1,0.5,1.0,1
1.5,1.5,0.5,0.125,1,0.5,1.0,1
1.5,2.125,0.6428571428571429,0.375,1,0.5,1.0,1
2.3,1.75,0.3,0.0,1,0.5,1.0,1
2.0,2.2142857142857144,0.4166666666666667,0.5714285714285714,1,0.5,1.0,1
1.3,1.0,0.3,0.125,0,0.5,1.0,0
1.75,2.625,0.0,0.25,1,0.5,1.0,2
1.75,2.3,0.6666666666666666,0.3,1,0.5,1.0,1
1.5,1.5,0.125,0.6428571428571429,0,0.5,1.0,2
1.7,2.357142857142857,0.4,0.5714285714285714,0,0.5,1.0,2
1.625,1.625,0.25,0.125,1,0.5,1.0,1
2.0,1.588235294117647,0.375,0.5294117647058824,0,0.5,1.0,2
2.2142857142857144,2.125,0.5714285714285714,0.0,1,0.5,1.0,1
2.0714285714285716,1.5,0.5714285714285714,0.25,1,0.5,1.0,1
2.9285714285714284,1.3,0.6428571428571429,0.4,0,0.5,1.0,0
1.4666666666666666,2.1,0.6666666666666666,0.4,1,0.5,1.0,1
2.6,1.4166666666666667,0.3,0.4166666666666667,1,0.5,1.0,1
1.9,2.0,0.5,0.125,1,0.5,1.0,1
1.3,1.5833333333333333,0.4,0.4166666666666667,0,0.5,1.0,2
2.125,1.5,0.375,0.5,1,0.5,1.0,1
1.9,2.0,0.5,0.4166666666666667,1,0.5,1.0,1
2.1666666666666665,1.5,0.4166666666666667,0.8,1,0.5,1.0,1
1.875,1.9,0.125,0.6,0,0.5,1.0,2
1.7,1.588235294117647,0.4,0.5294117647058824,1,0.5,1.0,2
2.6,2.357142857142857,0.3,0.5714285714285714,1,0.5,1.0,2
1.3,2.1666666666666665,0.4,0.4166666666666667,3,0.5,1.0,1
1.3,2.0714285714285716,0.3,0.5714285714285714,0,0.5,1.0,2
1.4166666666666667,1.3,0.4166666666666667,0.4,1,0.5,1.0,1
2.1,1.5833333333333333,0.4,0.4166666666666667,0,0.5,1.0,2
2.3,2.2142857142857144,0.3,0.5714285714285714,0,0.5,1.0,2
2.0,1.5,0.4166666666666667,0.5,1,0.5,1.0,1
1.5,2.0,0.5,0.4166666666666667,1,0.5,1.0,0
1.5833333333333333,2.1,0.4166666666666667,0.4,0,0.5,1.0,0
2.2142857142857144,2.3,0.5714285714285714,0.3,0,0.5,1.0,0
1.3,1.4166666666666667,0.4,0.4166666666666667,1,0.5,1.0,2
2.0714285714285716,1.3,0.5714285714285714,0.3,0,0.5,1.0,0
1.588235294117647,1.7,0.5294117647058824,0.4,1,0.5,1.0,1
2.357142857142857,2.6,0.5714285714285714,0.3,1,0.5,1.0,1
2.1666666666666665,1.3,0.4166666666666667,0.4,3,0.5,1.0,1
1.4166666666666667,1.75,0.4166666666666667,0.6666666666666666,2,0.7,1.0,2
2.357142857142857,1.9,0.5714285714285714,0.6,1,0.7,1.0,1
2.1666666666666665,1.5,0.4166666666666667,0.6428571428571429,1,0.7,1.0,2
2.0714285714285716,1.9,0.5714285714285714,0.5,0,0.7,1.0,0
2.0,1.4666666666666666,0.4166666666666667,0.6666666666666666,1,0.7,1.0,2
1.588235294117647,1.5,0.5294117647058824,0.8,0,0.7,1.0,2
2.2142857142857144,1.9,0.5714285714285714,0.5,1,0.7,1.0,1
1.5833333333333333,2.9285714285714284,0.4166666666666667,0.6428571428571429,1,0.7,1.0,2
2.9285714285714284,1.5833333333333333,0.6428571428571429,0.4166666666666667,1,0.7,1.0,1
1.5,1.588235294117647,0.8,0.5294117647058824,0,0.7,1.0,0
1.4666666666666666,2.0,0.6666666666666666,0.4166666666666667,1,0.7,1.0,1
1.9,2.2142857142857144,0.5,0.5714285714285714,1,0.7,1.0,2
1.9,2.0714285714285716,0.5,0.5714285714285714,0,0.7,1.0,2
1.75,1.4166666666666667,0.6666666666666666,0.4166666666666667,2,0.7,1.0,1
1.9,2.357142857142857,0.6,0.5714285714285714,1,0.7,1.0,0
1.5,2.1666666666666665,0.6428571428571429,0.4166666666666667,1,0.7,1.0,0
1.5,2.357142857142857,0.6428571428571429,0.5714285714285714,1,0.8,1.0,1
2.2142857142857144,1.4666666666666666,0.5714285714285714,0.6666666666666666,0,0.8,1.0,2
1.588235294117647,1.75,0.5294117647058824,0.6666666666666666,2,0.8,1.0,1
2.9285714285714284,2.0714285714285716,0.6428571428571429,0.5714285714285714,2,0.8,1.0,1
1.75,1.588235294117647,0.6666666666666666,0.5294117647058824,2,0.8,1.0,1
2.0714285714285716,2.9285714285714284,0.5714285714285714,0.6428571428571429,2,0.8,1.0,1
2.357142857142857,1.5,0.5714285714285714,0.6428571428571429,1,0.8,1.0,2
1.4666666666666666,2.2142857142857144,0.6666666666666666,0.5714285714285714,0,0.8,1.0,0
1.5,1.588235294117647,0.6428571428571429,0.5294117647058824,2,0.9,1.0,2
